iso_code,country,continent,year,coal_prod_change_pct,coal_prod_change_twh,gas_prod_change_pct,gas_prod_change_twh,oil_prod_change_pct,oil_prod_change_twh,energy_cons_change_pct,energy_cons_change_twh,biofuel_share_elec,biofuel_elec_per_capita,biofuel_cons_change_pct,biofuel_share_energy,biofuel_cons_change_twh,biofuel_consumption,biofuel_cons_per_capita,carbon_intensity_elec,coal_share_elec,coal_cons_change_pct,coal_share_energy,coal_cons_change_twh,coal_consumption,coal_elec_per_capita,coal_cons_per_capita,coal_production,coal_prod_per_capita,electricity_demand,biofuel_electricity,coal_electricity,fossil_electricity,gas_electricity,hydro_electricity,nuclear_electricity,oil_electricity,other_renewable_exc_biofuel_electricity,other_renewable_electricity,renewables_electricity,solar_electricity,wind_electricity,electricity_generation,energy_per_gdp,energy_per_capita,fossil_cons_change_pct,fossil_share_energy,fossil_cons_change_twh,fossil_fuel_consumption,fossil_energy_per_capita,fossil_cons_per_capita,fossil_share_elec,gdp,gas_share_elec,gas_cons_change_pct,gas_share_energy,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_energy_per_capita,gas_production,gas_prod_per_capita,hydro_share_elec,hydro_cons_change_pct,hydro_share_energy,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_energy_per_capita,low_carbon_share_elec,low_carbon_electricity,low_carbon_elec_per_capita,low_carbon_cons_change_pct,low_carbon_share_energy,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_energy_per_capita,net_elec_imports_share_demand,net_elec_imports,nuclear_share_elec,nuclear_cons_change_pct,nuclear_share_energy,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_energy_per_capita,oil_share_elec,oil_cons_change_pct,oil_share_energy,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_energy_per_capita,oil_production,oil_prod_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_elec_per_capita,other_renewables_cons_change_pct,other_renewables_share_energy,other_renewables_cons_change_twh,other_renewable_consumption,other_renewables_share_elec_exc_biofuel,other_renewables_share_elec,other_renewables_energy_per_capita,per_capita_electricity,population,primary_energy_consumption,renewables_elec_per_capita,renewables_share_elec,renewables_cons_change_pct,renewables_share_energy,renewables_cons_change_twh,renewables_consumption,renewables_energy_per_capita,solar_share_elec,solar_cons_change_pct,solar_share_energy,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_energy_per_capita,wind_share_elec,wind_cons_change_pct,wind_share_energy,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_energy_per_capita
COG,Congo,Africa,2020,,,0,,-8.541,-17.112,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183.236,33206.433,,,,,,,,,,,5518092,,,,,,,,,,,,,,,,,,,,,,
GNQ,Equatorial Guinea,Africa,2020,,,,,1.281,1.102,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.108,62087.698,,,,,,,,,,,1402985,,,,,,,,,,,,,,,,,,,,,,
GAB,Gabon,Africa,2020,,,0,,-4.712,-5.96,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.535,54155.389,,,,,,,,,,,2225728,,,,,,,,,,,,,,,,,,,,,,
LBY,Libya,Africa,2020,,,-8.262,-11.983,-70.258,-502.879,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,133.06,19364.633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212.879,30980.93,,,,,,,,,,,6871287,,,,,,,,,,,,,,,,,,,,,,
MMR,Myanmar,Asia,2020,0,,-4.343,-8.026,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,176.793,3249.284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54409792,,,,,,,,,,,,,,,,,,,,,,
SSD,South Sudan,Africa,2020,,,,,-0.898,-0.883,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.373,8698.922,,,,,,,,,,,11193729,,,,,,,,,,,,,,,,,,,,,,
SDN,Sudan,Africa,2020,,,,,-11.953,-6.678,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.192,1121.835,,,,,,,,,,,43849268,,,,,,,,,,,,,,,,,,,,,,
SYR,Syria,Africa,2020,,,-9.861,-3.281,30.027,5.275,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,29.989,1713.618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.843,1305.289,,,,,,,,,,,17500656,,,,,,,,,,,,,,,,,,,,,,
YEM,Yemen,Asia,2020,,,1.283,0.013,0.215,0.102,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.015,34.034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.496,1592.427,,,,,,,,,,,29825968,,,,,,,,,,,,,,,,,,,,,,
LTU,Lithuania,Europe,2020,,,,,,,-0.616,-0.428,12.352,191.016,,,,,,134,0,-21.68,2.618,-0.501,1.808,0,664.165,,,12.12,0.52,0,1.77,1.64,0.25,0,0.13,0,0.52,2.44,0.09,1.58,4.21,,25365.039,-1.411,88.843,-0.878,61.347,22534.995,650.188,42.043,,38.955,9.426,34.185,2.033,23.605,602.434,8670.954,,,5.938,-13.433,1.072,-0.115,0.74,91.834,271.976,57.957,2.44,896.304,3.441,9.159,0.21,6.324,2323.188,65.264,7.91,0,,0,0,0,0,0,3.088,-6.287,52.04,-2.411,35.934,47.754,13199.876,,,0,191.016,14.263,2.185,0.188,1.509,0,12.352,554.179,1546.492,2722291,69.051,896.304,57.957,3.441,9.159,0.21,6.324,2323.188,2.138,-1.817,0.321,-0.004,0.221,33.06,81.36,37.53,3.799,5.581,0.141,3.854,580.393,1415.673
SAU,Saudi Arabia,Asia,2020,,,0.855,9.501,-6.645,-430.09,-1.126,-33.408,,,,,,,,,0,0,0.043,0,1.248,0,35.834,,,,,0,339.874,207.033,0,0,132.841,,0,1.038,1.038,0,340.912,,84261.772,-1.127,99.913,-33.399,2930.92,84188.284,9762.596,99.696,,60.729,0.855,38.214,9.501,1121.001,5946.85,32199.854,1121.001,32199.829,0,,0,0,0,0,0,0.304,1.038,29.814,-0.367,0.087,-0.009,2.561,73.556,,,0,,0,0,0,0,0,38.966,-2.317,61.656,-42.899,1808.669,3815.746,51952.596,6042.749,173573.047,,0,,0,0,0,,0,0,9792.41,34813868,2933.478,29.814,0.304,-0.367,0.087,-0.009,2.561,73.556,0.304,-0.367,0.087,-0.009,2.561,29.814,73.556,0,,0,0,0,0,0
