iso_code,country,continent,year,coal_prod_change_pct,coal_prod_change_twh,gas_prod_change_pct,gas_prod_change_twh,oil_prod_change_pct,oil_prod_change_twh,energy_cons_change_pct,energy_cons_change_twh,biofuel_share_elec,biofuel_elec_per_capita,biofuel_cons_change_pct,biofuel_share_energy,biofuel_cons_change_twh,biofuel_consumption,biofuel_cons_per_capita,carbon_intensity_elec,coal_share_elec,coal_cons_change_pct,coal_share_energy,coal_cons_change_twh,coal_consumption,coal_elec_per_capita,coal_cons_per_capita,coal_production,coal_prod_per_capita,electricity_demand,biofuel_electricity,coal_electricity,fossil_electricity,gas_electricity,hydro_electricity,nuclear_electricity,oil_electricity,other_renewable_exc_biofuel_electricity,other_renewable_electricity,renewables_electricity,solar_electricity,wind_electricity,electricity_generation,energy_per_gdp,energy_per_capita,fossil_cons_change_pct,fossil_share_energy,fossil_cons_change_twh,fossil_fuel_consumption,fossil_energy_per_capita,fossil_cons_per_capita,fossil_share_elec,gdp,gas_share_elec,gas_cons_change_pct,gas_share_energy,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_energy_per_capita,gas_production,gas_prod_per_capita,hydro_share_elec,hydro_cons_change_pct,hydro_share_energy,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_energy_per_capita,low_carbon_share_elec,low_carbon_electricity,low_carbon_elec_per_capita,low_carbon_cons_change_pct,low_carbon_share_energy,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_energy_per_capita,net_elec_imports_share_demand,net_elec_imports,nuclear_share_elec,nuclear_cons_change_pct,nuclear_share_energy,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_energy_per_capita,oil_share_elec,oil_cons_change_pct,oil_share_energy,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_energy_per_capita,oil_production,oil_prod_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_elec_per_capita,other_renewables_cons_change_pct,other_renewables_share_energy,other_renewables_cons_change_twh,other_renewable_consumption,other_renewables_share_elec_exc_biofuel,other_renewables_share_elec,other_renewables_energy_per_capita,per_capita_electricity,population,primary_energy_consumption,renewables_elec_per_capita,renewables_share_elec,renewables_cons_change_pct,renewables_share_energy,renewables_cons_change_twh,renewables_consumption,renewables_energy_per_capita,solar_share_elec,solar_cons_change_pct,solar_share_energy,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_energy_per_capita,wind_share_elec,wind_cons_change_pct,wind_share_energy,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_energy_per_capita
BGD,Bangladesh,Asia,2020,0,,-2.257,-5.706,0,,-2.913,-13.266,0.004,0.018,,,,,,,5.501,11.4,9.712,4.394,42.939,26.86,260.728,,,79.951,0.003,4.424,79.285,56.552,0.698,0,18.309,0,0.003,1.124,0.417,0.006,80.408,,2684.575,-2.898,99.374,-13.11,439.354,2667.776,481.418,98.603,,70.331,-1.615,68.838,-4.996,304.348,343.386,1848.011,247.138,1500.634,0.868,-15.186,0.391,-0.31,1.729,4.236,10.496,1.397,1.124,6.823,-5.323,0.626,-0.156,2.767,16.802,-0.572,-0.457,0,,0,0,0,0,0,22.77,-11.961,20.824,-12.508,92.067,111.172,559.037,,,0,0.018,5.469,0.002,0,0.008,0,0.004,0.046,488.241,164689392,442.121,6.823,1.397,-5.323,0.626,-0.156,2.767,16.802,0.519,17.764,0.23,0.154,1.018,2.533,6.184,0.007,-0.442,0.003,0,0.013,0.036,0.076
UKR,Ukraine,Europe,2020,-7.706,-12.503,-2.2,-4.268,0,,-3.084,-29.289,0.213,6.517,,,,,,,28.277,-8.622,29.691,-25.79,273.313,863.163,6249.485,149.733,3423.749,130.754,0.285,37.749,50.299,10.611,7.112,69.873,1.939,0,0.285,13.325,0.998,4.93,133.497,,21048.438,-3.062,75.199,-21.868,692.23,15828.284,1150.122,37.678,,7.948,3.679,31.872,10.411,293.387,242.624,6708.494,189.746,4338.661,5.328,-3.977,1.681,-0.641,15.475,162.63,353.845,62.322,83.198,1902.366,-3.103,24.708,-7.283,227.445,5200.682,-2.098,-2.743,52.34,-8.53,20.423,-17.532,188.001,1597.679,4298.759,1.452,-4.915,13.637,-6.489,125.529,44.335,2870.304,,,0,6.517,8.312,0.096,0.068,0.883,0,0.213,20.188,3052.488,43733756,920.527,304.686,9.982,35.103,4.285,10.249,39.444,901.923,0.748,110.141,1.658,7.999,15.261,22.82,348.952,3.693,56.436,0.85,2.823,7.826,112.72,178.938
SGP,Singapore,Asia,2020,,,,,,,-3.167,-31.031,2.444,208.761,,,,,,,0,2.592,0.576,0.138,5.463,0,933.844,,,49.976,1.221,0,48.323,33.845,0,0,14.479,0,1.221,1.652,0.431,0,49.976,,162191.999,-3.178,99.747,-31.071,946.475,161781.175,8259.915,96.694,,67.722,0.395,13.277,0.496,125.984,5785.094,21534.414,,,0,,0,0,0,0,0,3.306,1.652,282.437,1.679,0.253,0.04,2.404,410.955,0,0,0,,0,0,0,0,0,28.971,-3.744,85.894,-31.705,815.028,2474.822,139312.917,,,0,208.761,-10.966,0.177,-0.206,1.676,0,2.444,286.506,8542.352,5850343,948.879,282.437,3.306,1.679,0.253,0.04,2.404,410.955,0.862,51.077,0.077,0.246,0.728,73.675,124.449,0,,0,0,0,0,0
ROU,Romania,Europe,2020,-30.715,-14.031,-9.526,-9.166,-3.056,-1.268,-3.253,-12.432,1.036,30.149,,,,,,236,16.765,-26.772,11.443,-15.469,42.312,488.105,2199.428,31.651,1645.237,58.8,0.58,9.39,19.91,9.81,15.28,11.5,0.71,0,0.58,24.6,1.76,6.98,56.01,,19220.151,-4.049,74.981,-11.698,277.245,14411.553,1034.948,35.547,,17.515,5.369,30.608,5.766,113.174,509.937,5882.959,87.059,4525.463,27.281,-3.523,10.067,-1.359,37.222,794.274,1934.87,64.453,36.1,1876.525,-0.727,23.878,-0.646,88.29,4589.407,4.745,2.79,20.532,1.276,7.651,0.356,28.288,597.785,1470.449,1.268,-1.612,32.93,-1.995,121.758,36.907,6329.167,40.217,2090.509,0,30.149,13.649,0.384,0.17,1.419,0,1.036,73.749,2911.473,19237682,369.751,1278.74,43.921,-1.644,16.228,-1.003,60.002,3118.959,3.142,-4.57,1.136,-0.201,4.202,91.487,218.4,12.462,2.31,4.641,0.387,17.159,362.83,891.939
BRA,Brazil,South America,2020,4.18,1.051,-7.062,-18.183,5.582,97.883,-3.328,-114.829,9.037,257.535,-0.106,7.804,-0.277,260.305,1224.622,,3.598,-10.67,4.822,-19.21,160.825,102.532,756.61,26.195,123.237,630.683,54.742,21.794,82.366,52.24,391.199,13.15,8.332,0,54.742,510.211,7.593,56.678,605.727,,15692.344,-5.97,52.815,-111.857,1761.672,8287.902,387.495,13.598,,8.624,-10.117,9.629,-36.152,321.182,245.766,1511.022,239.282,1125.717,64.583,-0.637,29.349,-6.28,978.95,1840.42,4605.538,86.402,523.361,2462.187,-0.188,47.185,-2.972,1573.886,7404.454,3.957,24.956,2.171,-5.513,1.131,-2.202,37.737,61.864,177.534,1.375,-4.228,38.364,-56.496,1279.664,39.197,6020.27,1851.39,8709.988,0,257.535,0.444,4.095,0.604,136.6,0,9.037,642.643,2849.682,212559408,3335.555,2400.323,84.231,-0.05,46.054,-0.77,1536.15,7226.92,1.254,19.158,0.589,3.157,19.635,35.723,92.374,9.357,1.462,4.217,2.027,140.66,266.644,661.742
TUR,Turkey,Europe,2020,-17.834,-35.984,0,,0,,-3.338,-60.326,1.451,52.408,,,,,,,34.327,-5.494,26.371,-26.783,460.743,1239.876,5462.988,165.789,1965.739,304.03,4.42,104.57,176.52,70.49,78.06,0,1.46,10.02,14.44,128.11,10.89,24.72,304.63,,20715.625,-3.244,81.875,-47.961,1430.472,16960.965,2092.98,57.946,,23.14,6.93,26.539,30.051,463.665,835.793,5497.63,,,25.625,-12.436,11.023,-27.353,192.592,925.55,2283.544,42.054,128.11,1518.988,-3.586,18.058,-11.736,315.505,3740.906,-0.197,-0.6,0,,0,0,0,0,0,0.479,-9.192,28.965,-51.228,506.063,17.311,6000.347,,,118.806,171.214,14.75,2.009,4.511,35.092,3.289,4.74,416.085,3611.968,84339072,1747.137,1518.988,42.054,-3.586,18.058,-11.736,315.505,3740.906,3.575,16.704,1.53,3.826,26.73,129.122,316.94,8.115,13.529,3.497,7.28,61.09,293.103,724.338
HRV,Croatia,Europe,2020,,,,,,,-3.461,-3.254,7.298,228.974,,,,,,157,9.627,-17.134,4.474,-0.84,4.06,302.051,989.075,,,17.52,0.94,1.24,4.68,3.41,5.36,0,0.03,0.11,1.05,8.2,0.08,1.71,12.88,,22105.103,-5.024,75.988,-3.648,68.957,16797.307,1139.999,36.335,,26.475,3.644,31.958,1.02,29.001,830.64,7064.377,,,41.615,-3.086,15.407,-0.445,13.982,1305.639,3405.755,63.665,8.2,1997.434,2.083,23.25,0.431,21.099,5139.498,26.484,4.64,0,,0,0,0,0,0,0.233,-9.636,39.556,-3.828,35.896,7.308,8743.855,,,26.795,255.769,9.724,2.905,0.234,2.636,0.854,8.152,642.18,3137.432,4105268,90.747,1997.434,63.665,2.083,23.25,0.431,21.099,5139.498,0.621,0.783,0.229,0.002,0.207,19.487,50.517,13.276,17.626,4.71,0.64,4.274,416.538,1041.046
KOR,South Korea,Asia,2020,-5.996,-0.358,,,,,-3.758,-127.851,0.333,34.826,-0.657,0.247,-0.053,8.084,157.678,,35.746,-11.928,25.697,-113.959,841.407,3738.415,16411.572,5.606,109.335,536.193,1.786,191.666,352.706,142.493,3.982,153.139,18.547,3.965,5.75,30.349,17.674,2.942,536.193,,63865.188,-6.107,84.6,-180.162,2770.071,54029.941,6879.485,65.78,,26.575,1.096,17.301,6.141,566.479,2779.307,11049.127,,,0.743,38.551,0.292,2.662,9.567,77.676,186.612,34.22,183.488,3578.912,11.575,15.4,52.311,504.248,9835.298,0,0,28.56,9.38,12.069,33.889,395.193,2986.958,7708.194,3.459,-5.043,41.602,-72.344,1362.182,361.762,26569.242,,,77.33,112.156,16.332,1.307,6.006,42.781,0.739,1.072,834.429,10458.397,51269184,3274.316,591.954,5.66,20.326,3.331,18.422,109.055,2127.104,3.296,27.023,1.248,8.696,40.877,344.734,797.304,0.549,16.755,0.237,1.112,7.746,57.388,151.08
NLD,Netherlands,Europe,2020,,,-28.272,-78.722,0,,-3.986,-38.895,7.048,504.818,31.617,1.215,2.735,11.385,664.419,320,6.51,-33.185,5.325,-24.778,49.889,466.3,2911.543,,,120.07,8.65,7.99,85.94,72.36,0.03,4.07,5.59,0,8.65,32.72,8.71,15.33,122.73,,54673.362,-7.193,89.268,-64.813,836.283,48805.888,5015.502,70.024,,58.959,-1.246,39.024,-4.611,365.583,4222.967,21335.647,199.722,11655.891,0.024,-37.724,0.012,-0.069,0.114,1.751,6.676,29.976,36.79,2147.083,34.732,10.732,25.918,100.539,5867.517,-2.215,-2.66,3.316,4.076,1.076,0.395,10.076,237.527,588.039,4.555,-7.764,44.919,-35.424,420.81,326.235,24558.698,,,0,504.818,48.776,2.286,7.022,21.42,0,7.048,1250.059,7162.585,17134874,936.821,1909.556,26.66,39.302,9.656,25.523,90.463,5279.478,7.097,50.42,2.122,6.662,19.875,508.32,1159.935,12.491,32.19,4.021,9.173,37.669,894.667,2198.389
AZE,Azerbaijan,Asia,2020,,,6.272,15.253,-7.619,-33.665,-4.073,-7.335,0.603,15.32,,,,,,,0,0,0.004,0,0.007,0,0.707,,,24.424,0.155,0,23.894,12.514,1.549,0,11.38,0,0.155,1.884,0.044,0.135,25.778,,17037.319,-3.46,98.131,-6.075,169.516,16718.936,2356.63,92.693,,48.547,0.886,68.851,1.044,118.937,1234.265,11730.436,258.435,25488.806,6.01,-31.999,1.525,-1.24,2.635,152.808,259.872,7.307,1.884,185.783,-28.065,1.869,-1.26,3.228,318.396,-5.544,-1.354,0,,0,0,0,0,0,44.146,-12.341,29.276,-7.12,50.572,1122.364,4987.793,408.21,40260.651,0,15.32,-0.094,0.14,0,0.242,0,0.603,23.899,2542.412,10139175,172.744,185.783,7.307,-28.065,1.869,-1.26,3.228,318.396,0.171,6.395,0.067,0.007,0.116,4.34,11.485,0.524,-10.104,0.136,-0.026,0.235,13.315,23.14
CHL,Chile,South America,2020,,,,,,,-4.614,-21.589,5.521,227.66,,,,,,,22.209,-4.151,18.701,-3.615,83.47,915.809,4366.447,,,78.829,4.352,17.507,40.477,11.26,20.484,0,11.71,0.246,4.598,38.352,7.466,5.803,78.829,,23348.403,-7.228,75.548,-26.273,337.197,17639.347,2117.41,51.348,,14.285,-6.004,13.716,-3.911,61.22,589.048,3202.523,,,25.986,-4.006,11.418,-2.127,50.964,1071.562,2666.018,48.652,38.352,2006.242,4.484,24.452,4.683,109.136,5709.074,0,0,0,,0,0,0,0,0,14.855,-8.874,43.131,-18.747,192.507,612.552,10070.378,,,12.881,240.541,7.897,5.715,1.867,25.506,0.312,5.833,1334.263,4123.652,19116208,446.333,2006.242,48.652,4.484,24.452,4.683,109.136,5709.074,9.471,20.422,4.209,3.186,18.787,390.561,982.765,7.362,14.497,3.11,1.757,13.879,303.578,726.028
SVK,Slovakia,Europe,2020,,,,,,,-4.933,-8.98,,,,,,,,,,-26.677,13.316,-8.384,23.044,,4220.746,,,,,,,,,,,,,,,,,,31696.583,-6.944,67.737,-8.747,117.221,21470.448,,,,,4.76,28.769,2.262,49.785,,9118.716,,,,2.896,6.414,0.312,11.099,,2032.868,,,,-0.226,31.303,-0.123,54.171,9922.072,,,,-1.177,21.61,-0.445,37.396,,6849.597,,-5.584,25.653,-2.625,44.392,,8130.986,,,,,-3.568,2.336,-0.15,4.043,,,740.459,,5459643,173.052,,,1.961,9.693,0.323,16.775,3072.475,,10.966,0.935,0.16,1.618,,296.436,,-0.374,0.009,0,0.015,,2.712
POL,Poland,Europe,2020,-9.842,-51.062,-1.442,-0.575,0,,-5.245,-61.704,4.885,203.453,-5.431,0.97,-0.621,10.814,285.726,720,69.253,-10.146,41.6,-52.363,463.716,2884.539,12252.51,467.759,12359.332,170.91,7.7,109.17,130.18,16.66,2.05,0,4.35,0,7.7,27.46,1.96,15.75,157.64,,29453.211,-6.031,92.893,-66.463,1035.48,27359.926,3439.675,82.581,,10.568,3.2,19.339,6.684,215.572,440.198,5695.95,39.277,1037.797,1.3,7.842,0.468,0.379,5.218,54.166,137.871,17.419,27.46,725.56,6.391,7.107,4.759,79.225,2093.308,7.764,13.27,0,,0,0,0,0,0,2.759,-5.514,31.954,-20.785,356.192,114.938,9411.466,,,0,203.453,2.421,1.748,0.461,19.485,0,4.885,514.85,4165.235,37846604,1114.704,725.56,17.419,6.391,7.107,4.759,79.225,2093.308,1.243,178.988,0.44,3.15,4.91,51.788,129.723,9.991,3.717,3.481,1.39,38.798,416.154,1025.137
AUS,Australia,Oceania,2020,-5.964,-218.869,-0.442,-6.33,2.031,4.551,-5.249,-85.699,1.369,134.987,2.654,0.104,0.041,1.603,62.86,,53.75,-3.735,30.326,-18.201,469.095,5298.038,18395.968,3451.009,135334.32,251.348,3.442,135.099,188.844,48.133,16.113,0,5.613,0.001,3.443,62.504,18.639,24.309,251.348,,60660.293,-7.199,89.626,-107.551,1386.359,54367.279,7405.697,75.133,,19.15,-2.833,26.44,-11.924,408.986,1887.559,16038.754,1425.16,55888.896,6.411,2.603,2.318,0.91,35.859,631.881,1406.232,24.867,62.504,2451.133,15.763,10.374,21.851,160.472,6293.062,0,0,0,,0,0,0,0,0,2.233,-13.219,32.859,-77.426,508.277,220.101,19932.558,228.627,8965.814,0.039,135.027,-2.014,0.544,-0.173,8.414,0,1.37,329.96,9856.83,25499880,1546.83,2451.133,24.867,15.763,10.374,21.851,160.472,6293.062,7.416,29.831,3.803,13.515,58.823,730.938,2306.786,9.671,15.675,3.606,7.558,55.774,953.288,2187.225
RUS,Russia,Europe,2020,-9.346,-239.596,-5.972,-405.551,-8.543,-569.691,-5.289,-439.242,0.323,22.702,,,,,,,15.117,-8.209,11.563,-81.332,909.428,1062.123,6231.763,2324.005,15924.994,1015.034,3.313,155,606.588,442.023,209.545,202.443,9.565,0.417,3.73,216.292,1.675,1.343,1025.324,,53895.194,-6.872,86.43,-501.605,6797.903,46581.893,4156.581,59.161,,43.111,-7.41,52.305,-329.236,4113.892,3028.915,28190.022,6384.897,43751.819,20.437,8.891,6.664,42.793,524.111,1435.884,3591.415,40.839,418.735,2869.339,6.194,13.547,62.145,1065.466,7300.993,-1.014,-10.289,19.744,2.936,6.773,15.193,532.687,1387.219,3650.179,0.933,-4.88,22.562,-91.038,1774.577,65.542,12160.108,6098.821,41791.511,2.857,25.559,-1.853,0.016,-0.024,1.267,0.041,0.364,8.679,7025.92,145934448,7865.165,1482.12,21.095,9.664,6.774,46.952,532.779,3650.814,0.163,88.346,0.058,2.155,4.594,11.475,31.481,0.131,260.166,0.036,2.028,2.808,9.202,19.239
SVN,Slovenia,Europe,2020,,,,,,,-5.458,-4.303,,,,,,,,,,-0.799,16.231,-0.097,12.097,,5818.913,,,,,,,,,,,,,,,,,,35850.297,-13.087,59.273,-6.652,44.176,21249.385,,,,,-0.181,11.474,-0.016,8.552,,4113.466,,,,9.434,16.287,1.046,12.138,,5838.767,,,,8.268,39.087,2.225,29.131,14012.714,,,,8.73,21.029,1.258,15.673,,7538.993,,-21.748,31.567,-6.539,23.527,,11317.005,,,,,-6.294,0.798,-0.04,0.595,,,285.968,,2078931,74.53,,,7.736,18.058,0.966,13.458,6473.721,,-5.354,0.953,-0.04,0.71,,341.624,,0.547,0.021,0,0.015,,7.362
EGY,Egypt,Africa,2020,,,-9.968,-64.733,-5.69,-21.052,-5.569,-59.743,,,,,,,,,0,-61.969,0.861,-14.216,8.725,0,85.257,,,,,0,175.786,150.011,13.139,0,25.775,,0,22.824,2.909,6.776,198.61,,9899.44,-6.573,94.442,-67.315,956.745,9349.199,1717.763,88.508,,75.53,-1.936,57.059,-11.413,578.041,1465.893,5648.555,584.654,5713.174,6.615,-0.93,3.2,-0.304,32.416,128.393,316.762,11.492,22.824,223.033,15.535,5.558,7.571,56.309,550.248,,,0,,0,0,0,0,0,12.978,-10.126,36.521,-41.686,369.978,251.871,3615.387,348.921,3409.616,,0,,0,0,0,,0,0,1940.796,102334408,1013.053,223.033,11.492,15.535,5.558,7.571,56.309,550.248,1.464,51.178,0.708,2.429,7.176,28.422,70.119,3.412,48.323,1.65,5.447,16.718,66.218,163.367
IND,India,Asia,2020,0.685,23.954,-11.691,-31.454,-6.565,-28.723,-5.629,-529.886,1.071,10.415,3.44,0.274,0.809,24.333,17.632,,70.563,-5.705,54.83,-294.712,4871.306,686.181,3529.924,3522.966,2552.866,1344.921,14.373,946.932,999.177,52.112,163.514,44.548,0.133,1.211,15.584,298.242,58.729,60.415,1341.967,,6437.936,-6.559,89.744,-559.704,7973.217,5777.675,724.039,74.456,,3.883,0.592,6.708,3.505,596.008,37.762,431.889,237.606,172.177,12.185,0.632,4.544,2.535,403.72,118.488,292.55,25.544,342.79,248.398,3.383,10.256,29.817,911.17,660.266,0.22,2.954,3.32,-1.58,1.239,-1.767,110.066,32.281,79.758,0.01,-9.678,28.206,-268.497,2505.896,0.096,1815.862,408.768,296.207,0.878,11.293,7.797,0.891,5.728,79.19,0.09,1.161,57.384,972.437,1380004352,8884.38,216.116,22.224,4.104,9.017,31.584,801.104,580.508,4.376,26.369,1.63,30.21,144.779,42.557,104.912,4.502,-4.91,1.678,-7.698,149.082,43.779,108.03
CAN,Canada,North America,2020,-21.803,-68.967,-2.243,-37.91,-4.28,-131.132,-5.688,-228.348,1.599,266.265,-12.959,0.593,-3.344,22.463,595.17,,7.093,-21.971,3.634,-38.735,137.568,1180.87,3644.959,247.358,6553.901,579.678,10.049,44.569,104.559,56.216,382.353,93.237,3.774,0.127,10.176,430.52,4.387,33.604,628.316,,100309.524,-8.771,64.646,-235.307,2447.421,64845.812,2770.338,16.641,,8.947,-4.42,29.751,-52.091,1126.351,1489.471,29843.34,1651.949,43769.325,60.854,0.946,25.068,8.889,949.033,10130.674,25145.163,83.359,523.757,13877.254,0.523,35.354,6.959,1338.48,35463.792,-8.391,-48.638,14.839,-3.308,6.356,-8.231,240.614,2470.373,6375.21,0.601,-10.88,31.261,-144.481,1183.499,99.997,31357.514,2932.932,77709.723,3.366,269.631,3.835,0.697,0.975,26.386,0.02,1.62,699.102,16647.592,37742156,3785.898,11406.881,68.52,1.403,28.999,15.19,1097.866,29088.582,0.698,4.532,0.288,0.473,10.915,116.226,289.208,5.348,10.135,2.353,8.197,89.069,890.35,2359.94
ZAF,South Africa,Africa,2020,-3.879,-66.946,0,,0,,-5.876,-85,0.199,7.469,,,,,,,85.505,-4.359,71.043,-44.092,967.354,3213.862,16310.51,1659.06,27973.301,218.267,0.443,190.61,197.462,1.723,1.161,11.532,5.129,0.006,0.449,13.929,5.693,6.625,222.923,,22958.51,-6.512,94.754,-89.876,1290.208,21754.119,3329.398,88.579,,0.773,-4.54,2.975,-1.926,40.51,29.056,683.029,,,0.521,-48.932,0.09,-1.18,1.232,19.581,20.766,11.421,25.461,429.294,7.402,5.192,4.872,70.696,1192.007,-2.133,-4.656,5.173,14.018,2.819,4.719,38.386,194.437,647.227,2.301,-13.445,20.736,-43.858,282.344,86.479,4760.58,,,0.109,7.578,-0.367,0.078,-0.004,1.059,0.003,0.202,17.856,3758.691,59308692,1361.639,234.856,6.248,0.475,2.373,0.153,32.31,544.781,2.554,5.211,0.938,0.633,12.774,95.991,215.374,2.972,4.257,1.267,0.704,17.246,111.707,290.784
IRQ,Iraq,Asia,2020,,,-4.326,-4.744,-13.74,-374.28,-6.048,-36.888,,,,,,,,,,,0,0,0,,0,,,,,,,,2.461,0,,,0,2.837,0.377,0,131.282,,14245.68,-6.108,98.778,-36.82,565.998,14071.664,,,,,6.693,36.295,13.046,207.97,,5170.489,104.925,2608.61,1.874,-1.054,1.059,-0.065,6.071,61.177,150.932,2.161,2.837,70.539,-0.964,1.222,-0.068,7,174.028,,,0,,0,0,0,0,0,,-12.225,62.483,-49.867,358.027,,8901.174,2349.7,58417.549,,0,,0,0,0,,0,0,3263.885,40222504,572.997,70.539,2.161,-0.964,1.222,-0.068,7,174.028,0.287,-0.367,0.162,-0.003,0.929,9.362,23.096,0,,0,0,0,0,0
ISL,Iceland,Europe,2020,,,,,,,-6.256,-3.807,,,,,,,,,,0,2.288,0,1.306,,3825.807,,,,,,,,13.165,0,,,5.961,19.132,0,0.007,19.289,,167175.409,-21.99,16.961,-2.728,9.676,28354.889,,,,,,0,0,0,,0,,,68.251,-2.561,56.934,-0.854,32.48,38579.033,95179.188,99.186,19.132,56065.511,-2.176,82.74,-1.05,47.202,138320.488,,,0,,0,0,0,0,0,,-24.577,14.673,-2.728,8.371,,24529.082,,,,17466.955,-1.32,25.777,-0.197,14.706,,30.901,43093.111,56525.537,341250,57.049,56065.511,99.186,-2.176,82.74,-1.05,47.202,138320.488,0,,0,0,0,0,0,0.035,1.024,0.029,0,0.016,19.523,48.189
BLR,Belarus,Europe,2020,,,,,,,-6.793,-19.881,0.935,35.558,,,,,,,0,-0.381,5.648,-0.059,15.409,0,1630.703,,,33.596,0.336,0,34.896,34.896,0.345,0,0,0,0.336,1.04,0.181,0.178,35.936,,28871.065,-6.862,99.199,-19.94,270.628,28639.94,3692.962,97.107,,97.107,-6.78,65.485,-12.994,178.651,3692.962,18906.193,,,0.959,0.297,0.32,0.003,0.872,36.46,92.254,2.893,1.04,110.01,2.727,0.752,0.054,2.05,216.974,-6.962,-2.339,0,,0,0,0,0,0,0,-8.252,28.066,-6.887,76.568,0,8103.045,,,0,35.558,1.502,0.101,0.004,0.276,0,0.935,29.259,3802.972,9449321,272.812,110.01,2.893,2.727,0.752,0.054,2.05,216.974,0.504,1.16,0.164,0.005,0.448,19.155,47.451,0.495,10.367,0.166,0.043,0.454,18.837,48.01
ARG,Argentina,South America,2020,0,,-7.988,-33.242,-4.134,-13.863,-6.866,-64.474,1.401,41.895,-46.322,1.103,-8.324,9.646,213.427,,1.07,9.063,1.013,0.736,8.86,31.988,196.041,,,142.763,1.893,1.446,91.627,86.69,20.854,10.01,3.492,0,1.893,33.511,1.344,9.42,135.149,,19351.623,-7.183,84.106,-56.927,735.604,16275.941,2027.344,67.797,,64.144,-5.648,50.228,-26.296,439.299,1918.092,9719.912,382.916,8472.378,15.43,-17.901,8.616,-16.431,75.355,461.407,1667.297,32.203,43.522,962.957,-5.15,15.894,-7.548,139.009,3075.698,5.333,7.614,7.407,25.823,3.008,5.399,26.306,221.49,582.035,2.584,-9.839,32.865,-31.367,287.444,77.264,6359.988,321.486,7113.191,0,41.895,-33.795,0.117,-0.521,1.021,0,1.401,22.596,2990.301,45195776,874.612,741.467,24.796,-10.304,12.886,-12.946,112.703,2493.663,0.995,67.489,0.379,1.336,3.317,29.743,73.384,6.97,88.863,2.671,10.993,23.364,208.421,516.959
MAR,Morocco,Africa,2020,,,,,,,-6.889,-18.045,,,,,,,,,,0.402,31.9,0.312,77.799,,2107.78,,,,,,,,1.147,0,,,0,8.118,1.581,5.39,38.165,,6607.388,-7.973,91.788,-19.394,223.854,6064.766,,,,,-22.817,3.088,-2.226,7.531,,204.023,,,3.006,-9.496,1.16,-0.297,2.83,31.077,76.672,21.271,8.118,219.943,7.225,8.212,1.349,20.029,542.627,,,0,,0,0,0,0,0,,-11.205,56.799,-17.48,138.524,,3752.963,,,,0,,0,0,0,,0,0,1033.998,36910560,243.882,219.943,21.271,7.225,8.212,1.349,20.029,542.627,4.144,-0.367,1.6,-0.014,3.902,42.846,105.706,14.122,14.273,5.452,1.661,13.297,146.02,360.249
ISR,Israel,Asia,2020,,,,,,,-7.16,-22.445,,,,,,,,,,-19.6,15.995,-11.348,46.551,,5378.143,,,,,,,,0,0,,,0.178,5.673,5.489,0.007,74.264,,33624.581,-9.257,95.175,-28.257,276.995,32002.078,,,,,4.889,38.821,5.266,112.985,,13053.498,,,0,,0,0,0,0,0,7.639,5.673,655.455,71.355,4.809,5.828,13.997,1617.088,,,0,,0,0,0,0,0,,-15.881,40.359,-22.175,117.459,,13570.437,,,,20.507,-0.367,0.15,-0.002,0.438,,0.239,50.594,8579.915,8655541,291.039,655.455,7.639,71.355,4.809,5.828,13.997,1617.088,7.391,75.597,4.653,5.83,13.542,634.174,1564.585,0.009,-0.335,0.006,0,0.017,0.774,1.91
THA,Thailand,Asia,2020,-7.061,-2.9,-8.572,-30.663,-10.471,-20.464,-7.161,-109.68,10.613,263.778,0.041,1.826,0.011,25.967,372.016,,19.987,1.879,14.22,3.729,202.182,496.743,2896.588,38.172,546.871,200.596,18.412,34.673,142.257,106.874,4.6,0,0.71,0,18.412,31.22,4.885,3.324,173.477,,20370.287,-7.157,93.829,-102.847,1334.098,19113.164,2038.061,82.003,,61.607,-8.023,32.952,-40.866,468.529,1531.152,6712.46,327.064,4685.733,2.651,-28.317,0.788,-4.424,11.2,65.896,160.464,17.997,31.22,447.281,-7.224,6.171,-6.833,87.748,1257.139,13.519,27.119,0,,0,0,0,0,0,0.409,-9.012,46.657,-65.709,663.386,10.165,9504.115,174.966,2506.676,0,263.778,-6.522,2.376,-2.357,33.78,0,10.613,483.956,2485.342,69799976,1421.846,447.281,17.997,-7.224,6.171,-6.833,87.748,1257.139,2.816,-0.367,0.793,-0.042,11.269,69.986,161.454,1.916,-0.367,0.389,-0.02,5.532,47.622,79.25
