iso_code,country,year,co2_per_capita,cumulative_co2,share_global_co2
MNE,Montenegro,2020,3.678,103.621,0.01
MSR,Montserrat,2020,5.065,1.618,0
MAR,Morocco,2020,1.748,1737.595,0.19
MOZ,Mozambique,2020,0.21,177.092,0.02
MMR,Myanmar,2020,0.668,611.491,0.1
NAM,Namibia,2020,1.526,76.039,0.01
NRU,Nauru,2020,5.236,4.858,0
NPL,Nepal,2020,0.582,165.884,0.05
NLD,Netherlands,2020,8.06,11739.972,0.4
NCL,New Caledonia,2020,30.448,157.007,0.02
NZL,New Zealand,2020,6.942,1886.569,0.1
NIC,Nicaragua,2020,0.766,177.397,0.01
NER,Niger,2020,0.07,46.523,0
NGA,Nigeria,2020,0.609,3914.991,0.36
NIU,Niue,2020,7.012,0.29,0
PRK,North Korea,2020,1.137,5049.468,0.08
MKD,North Macedonia,2020,3.43,636.096,0.02
NOR,Norway,2020,7.615,2632.394,0.12
OMN,Oman,2020,12.173,1251.111,0.18
PAK,Pakistan,2020,1.063,5162.289,0.67
PLW,Palau,2020,12.125,10.562,0
PSE,Palestine,2020,0.568,59.438,0.01
PAN,Panama,2020,2.498,309.251,0.03
PNG,Papua New Guinea,2020,0.744,169.499,0.02
PRY,Paraguay,2020,1.061,177.914,0.02
PER,Peru,2020,1.356,1941.85,0.13
PHL,Philippines,2020,1.241,3390.274,0.39
POL,Poland,2020,7.916,27863.876,0.86
PRT,Portugal,2020,3.961,2614.595,0.12
QAT,Qatar,2020,37.019,2094.572,0.31
ROU,Romania,2020,3.715,8493.294,0.21
RUS,Russia,2020,10.807,115344.15,4.53
RWA,Rwanda,2020,0.08,28.684,0
SHN,Saint Helena,2020,1.564,0.379,0
KNA,Saint Kitts and Nevis,2020,3.986,6.34,0
LCA,Saint Lucia,2020,2.396,14.366,0
SPM,Saint Pierre and Miquelon,2020,8.738,3.677,0
VCT,Saint Vincent and the Grenadines,2020,1.883,6.967,0
WSM,Samoa,2020,1.239,6.782,0
STP,Sao Tome and Principe,2020,0.514,3.361,0
SAU,Saudi Arabia,2020,17.967,15936.377,1.8
SEN,Senegal,2020,0.624,243.299,0.03
SRB,Serbia,2020,4.937,2734.456,0.12
SYC,Seychelles,2020,4.994,13.38,0
SLE,Sierra Leone,2020,0.11,36.096,0
SGP,Singapore,2020,7.778,2157.028,0.13
SXM,Sint Maarten (Dutch part),2020,14.539,67.704,0
SVK,Slovakia,2020,5.629,3869.881,0.09
SVN,Slovenia,2020,6.043,851.1,0.04
SLB,Solomon Islands,2020,0.435,10.435,0
SOM,Somalia,2020,0.035,32.89,0
ZAF,South Africa,2020,7.62,21164.298,1.3
KOR,South Korea,2020,11.656,18335.707,1.72
SSD,South Sudan,2020,0.105,38.352,0
ESP,Spain,2020,4.468,14853.333,0.6
LKA,Sri Lanka,2020,0.986,500.281,0.06
SDN,Sudan,2020,0.43,446.154,0.05
SUR,Suriname,2020,3.791,115.203,0.01
SWE,Sweden,2020,3.826,4987.956,0.11
CHE,Switzerland,2020,3.732,3022.785,0.09
SYR,Syria,2020,1.745,1867.934,0.09
TWN,Taiwan,2020,11.47,9046.736,0.78
TJK,Tajikistan,2020,0.991,489.614,0.03
TZA,Tanzania,2020,0.183,243.841,0.03
THA,Thailand,2020,3.693,7364.298,0.74
TLS,Timor,2020,0.399,6.543,0
TGO,Togo,2020,0.265,66.128,0.01
TON,Tonga,2020,1.36,4.384,0
TTO,Trinidad and Tobago,2020,25.373,1569.561,0.1
TUN,Tunisia,2020,2.38,901.512,0.08
TUR,Turkey,2020,4.657,10839.788,1.13
TKM,Turkmenistan,2020,12.491,2434.766,0.22
TCA,Turks and Caicos Islands,2020,5.231,3.931,0
TUV,Tuvalu,2020,0.642,0.279,0
UGA,Uganda,2020,0.107,105.595,0.01
UKR,Ukraine,2020,4.891,30559.156,0.61
ARE,United Arab Emirates,2020,15.193,4695.477,0.43
GBR,United Kingdom,2020,4.855,78161.146,0.95
USA,United States,2020,14.238,416723.089,13.54
URY,Uruguay,2020,1.681,371.229,0.02
UZB,Uzbekistan,2020,3.37,6310.349,0.32
VUT,Vanuatu,2020,0.591,4.752,0
VEN,Venezuela,2020,2.975,7854.692,0.24
VNM,Vietnam,2020,2.613,3977.272,0.73
OWID_WRL,World,2020,4.465,1696524.177,100
YEM,Yemen,2020,0.328,624.654,0.03
ZMB,Zambia,2020,0.358,247.988,0.02
ZWE,Zimbabwe,2020,0.709,779.383,0.03
